index,stadium_name,lon,lat,attendance
121,Ceres Park,56.1327356,10.196762,6570
122,Energi Viborg Arena,56.4559039,9.40202035,3834
123,Brøndby Stadion,55.6503299,12.4170778,18086
124,EWII Park (Odense),55.397745,10.35022493,10574
125,MCH Arena,56.1169164,8.951716477,8164
126,Sydbank Park,55.2613291,9.4877072,3871
127,Right to Dream Park,55.81619865,12.35303259,3382
128,EWII Park (Odense),55.397745,10.35022493,5618
129,Aalborg Portland Park,57.05203525,9.898599342,11530
130,Blue Water Arena,55.48194305,8.438397123,11417
131,BioNutria Park Randers,56.46607165,10.01015413,5900
132,Harboe Arena Slagelse,55.40040215,11.36431815,3167
133,MCH Arena,56.1169164,8.951716477,6881
134,Sydbank Park,55.2613291,9.4877072,2615
135,Telia Parken,55.70270425,12.57226378,14507
136,Brøndby Stadion,55.6503299,12.4170778,15182
137,Ceres Park,56.1327356,10.196762,6455
138,EWII Park (Odense),55.397745,10.35022493,6099
139,Blue Water Arena,55.48194305,8.438397123,7325
140,BioNutria Park Randers,56.46607165,10.01015413,5247
141,Energi Viborg Arena,56.4559039,9.40202035,7736
142,Aalborg Portland Park,57.05203525,9.898599342,11491
143,Right to Dream Park,55.81619865,12.35303259,5469
144,Ceres Park,56.1327356,10.196762,6828
145,MCH Arena,56.1169164,8.951716477,11535
146,Energi Viborg Arena,56.4559039,9.40202035,4079
147,Telia Parken,55.70270425,12.57226378,11023
148,Brøndby Stadion,55.6503299,12.4170778,11651
149,Harboe Arena Slagelse,55.40040215,11.36431815,2197
150,Sydbank Park,55.2613291,9.4877072,3255
151,MCH Arena,56.1169164,8.951716477,7254
152,BioNutria Park Randers,56.46607165,10.01015413,4593
153,Telia Parken,55.70270425,12.57226378,15427
154,Aalborg Portland Park,57.05203525,9.898599342,13139
155,Right to Dream Park,55.81619865,12.35303259,4257
156,Energi Viborg Arena,56.4559039,9.40202035,6803
157,EWII Park (Odense),55.397745,10.35022493,7475
158,Blue Water Arena,55.48194305,8.438397123,6334
159,Harboe Arena Slagelse,55.40040215,11.36431815,4456
160,Brøndby Stadion,55.6503299,12.4170778,13072
161,Ceres Park,56.1327356,10.196762,5932
163,Harboe Arena Slagelse,55.40040215,11.36431815,2794
164,Aalborg Portland Park,57.05203525,9.898599342,10005
165,Sydbank Park,55.2613291,9.4877072,2746
166,MCH Arena,56.1169164,8.951716477,8903
167,Ceres Park,56.1327356,10.196762,9634
168,Telia Parken,55.70270425,12.57226378,11917
169,BioNutria Park Randers,56.46607165,10.01015413,5567
170,EWII Park (Odense),55.397745,10.35022493,8495
171,Energi Viborg Arena,56.4559039,9.40202035,6434
172,Brøndby Stadion,55.6503299,12.4170778,16751
173,Right to Dream Park,55.81619865,12.35303259,5146
174,Blue Water Arena,55.48194305,8.438397123,10320
175,BioNutria Park Randers,56.46607165,10.01015413,5612
176,Aalborg Portland Park,57.05203525,9.898599342,11802
177,Sydbank Park,55.2613291,9.4877072,8357
178,MCH Arena,56.1169164,8.951716477,8199
179,Telia Parken,55.70270425,12.57226378,32846
180,Ceres Park,56.1327356,10.196762,6607
181,Blue Water Arena,55.48194305,8.438397123,8379
182,Right to Dream Park,55.81619865,12.35303259,6872
183,Energi Viborg Arena,56.4559039,9.40202035,4701
184,EWII Park (Odense),55.397745,10.35022493,6026
185,Brøndby Stadion,55.6503299,12.4170778,12440
186,Harboe Arena Slagelse,55.40040215,11.36431815,3959
187,Energi Viborg Arena,56.4559039,9.40202035,4728
188,Brøndby Stadion,55.6503299,12.4170778,16891
189,Harboe Arena Slagelse,55.40040215,11.36431815,4473
190,Ceres Park,56.1327356,10.196762,9382
191,MCH Arena,56.1169164,8.951716477,11021
192,EWII Park (Odense),55.397745,10.35022493,8552
193,Telia Parken,55.70270425,12.57226378,17251
194,Sydbank Park,55.2613291,9.4877072,5678
195,Aalborg Portland Park,57.05203525,9.898599342,12748
196,BioNutria Park Randers,56.46607165,10.01015413,5156
197,Right to Dream Park,55.81619865,12.35303259,8341
198,Blue Water Arena,55.48194305,8.438397123,9853
199,Right to Dream Park,None,None,3349
200,Sydbank Park,55.81619865,12.35303259,3228
201,EWII Park (Odense),55.2613291,9.4877072,6015
202,MASCOT PARK (Silkeborg),55.397745,10.35022493,5416
203,MCH Arena,56.184187,9.575152258,9548
204,Blue Water Arena,56.1169164,8.951716477,7257
205,Harboe Arena Slagelse,55.48194305,8.438397123,2709
206,Aalborg Portland Park,55.40040215,11.36431815,7543
207,Telia Parken,57.05203525,9.898599342,12496
208,BioNutria Park Randers,55.70270425,12.57226378,6929
209,Blue Water Arena,56.46607165,10.01015413,7170
210,Brøndby Stadion,55.48194305,8.438397123,15986
211,MASCOT PARK (Silkeborg),55.6503299,12.4170778,3105
212,Harboe Arena Slagelse,56.184187,9.575152258,5127
213,EWII Park (Odense),55.40040215,11.36431815,5840
214,Right to Dream Park,55.397745,10.35022493,3146
215,HDS Arena,55.81619865,12.35303259,6583
216,MCH Arena,55.7211638,12.3686863,6927
217,BioNutria Park Randers,56.1169164,8.951716477,4599
218,Aalborg Portland Park,56.46607165,10.01015413,5904
219,Sydbank Park,57.05203525,9.898599342,4119
220,Telia Parken,55.2613291,9.4877072,14664
221,Brøndby Stadion,55.70270425,12.57226378,11116
222,Blue Water Arena,55.6503299,12.4170778,5728
223,Telia Parken,55.48194305,8.438397123,13106
224,Aalborg Portland Park,55.70270425,12.57226378,5319
225,Harboe Arena Slagelse,57.05203525,9.898599342,1994
226,Brøndby Stadion,55.40040215,11.36431815,9962
227,BioNutria Park Randers,55.6503299,12.4170778,3952
228,HDS Arena,56.46607165,10.01015413,4221
229,Sydbank Park,55.7211638,12.3686863,2254
230,MASCOT PARK (Silkeborg),55.2613291,9.4877072,3067
231,MCH Arena,56.184187,9.575152258,6571
232,Right to Dream Park,56.1169164,8.951716477,7689
233,EWII Park (Odense),55.81619865,12.35303259,9925
234,HDS Arena,55.397745,10.35022493,2682
235,MCH Arena,55.7211638,12.3686863,7515
236,Aalborg Portland Park,56.1169164,8.951716477,8546
237,MASCOT PARK (Silkeborg),57.05203525,9.898599342,2390
238,Brøndby Stadion,56.184187,9.575152258,25551
239,Blue Water Arena,55.6503299,12.4170778,5209
240,Sydbank Park,55.48194305,8.438397123,4138
241,BioNutria Park Randers,55.2613291,9.4877072,5126
242,HDS Arena,56.46607165,10.01015413,3736
243,EWII Park (Odense),55.7211638,12.3686863,7201
244,Telia Parken,55.397745,10.35022493,32526
