index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
526,15-16,Mar 20 2016,22,N/A,HDS Arena,4869,Randers,Viborg,Lost,Won,0,3,1,3,1,2,10,4,0.4,0.6,13,5,0,0,0,0,1,1,2.12,3.32,3.96,0,0,0,0,4,2,6,2
527,15-16,Mar 20 2016,22,N/A,Sydbank Park,7351,Nordsjælland,København,Won,Lost,3,0,2,0,0,0,10,11,0.55,0.45,6,11,0,0,0,1,1,6,4.71,3.57,1.88,0,0,0,0,5,8,5,3
528,15-16,Mar 20 2016,22,N/A,BioNutria Park Randers,11693,Brøndby,Esbjerg,Draw,Draw,1,1,0,0,0,0,14,6,0.47,0.53,9,13,0,0,1,3,6,3,2.06,3.49,3.95,0,0,0,0,4,2,10,4
529,15-16,Apr 01 2016,23,N/A,Right to Dream Park,5447,AaB,Nordsjælland,Won,Lost,3,0,1,0,1,0,6,12,0.55,0.45,8,15,0,0,0,0,4,4,1.81,3.75,4.83,0,0,0,0,4,5,2,7
530,15-16,Apr 02 2016,23,N/A,Brøndby Stadion,8382,AGF,Hobro,Draw,Draw,1,1,1,1,1,0,11,3,0.41,0.59,13,18,0,0,2,3,7,6,1.46,4.64,8,0,0,0,0,3,0,8,3
531,15-16,Apr 03 2016,23,N/A,Aalborg Portland Park,6611,OB,Randers,Lost,Won,0,3,0,1,0,1,7,12,0.47,0.53,15,7,0,0,0,1,4,0,2.53,3.37,3,0,0,0,0,4,4,3,8
532,15-16,Apr 03 2016,23,N/A,Ceres Park,15842,København,Sønderjyske,Won,Lost,3,0,1,0,1,0,19,6,0.38,0.62,15,10,0,0,1,4,10,1,1.56,4.04,7.26,0,0,0,0,4,2,15,4
533,15-16,Apr 03 2016,23,N/A,EWII Park (Odense),9508,Midtjylland,Brøndby,Won,Lost,3,0,2,0,1,0,13,6,0.52,0.48,10,14,0,0,1,3,6,5,2.16,3.36,3.78,0,0,0,0,6,2,7,4
534,15-16,Apr 04 2016,23,N/A,Telia Parken,5629,Esbjerg,Viborg,Won,Lost,3,0,1,0,1,0,8,15,0.44,0.56,9,12,0,0,3,0,2,7,2.52,3.3,3.07,0,0,0,0,6,9,2,6
535,15-16,Apr 08 2016,24,N/A,MCH Arena,7502,Viborg,Midtjylland,Draw,Draw,1,1,1,1,0,0,12,10,0.52,0.48,9,12,0,0,0,1,7,5,2.93,3.31,2.62,0,0,0,0,6,6,6,4
536,15-16,Apr 09 2016,24,N/A,Blue Water Arena,5347,Sønderjyske,AGF,Draw,Draw,1,1,2,2,0,1,4,7,0.57,0.43,14,14,1,0,4,1,6,7,0,0,0,0,0,0,0,3,4,1,3
537,15-16,Apr 10 2016,24,N/A,Energi Viborg Arena,3487,Hobro,AaB,Lost,Won,0,3,0,2,0,0,7,8,0.55,0.45,17,6,0,0,3,1,1,9,6.88,4.64,1.51,0,0,0,0,3,4,4,4
538,15-16,Apr 10 2016,24,N/A,Sydbank Park,5705,Randers,København,Draw,Draw,1,1,1,1,0,0,7,6,0.52,0.48,11,11,0,0,2,3,3,3,3.97,3.31,2.12,0,0,0,0,4,3,3,3
539,15-16,Apr 10 2016,24,N/A,HDS Arena,11263,Brøndby,OB,Won,Lost,3,0,1,0,1,0,9,5,0.47,0.53,5,12,0,0,2,1,8,4,2.03,3.46,4.12,0,0,0,0,3,5,6,0
540,15-16,Apr 11 2016,24,N/A,BioNutria Park Randers,2107,Nordsjælland,Esbjerg,Draw,Draw,1,1,0,0,0,0,11,12,0.46,0.54,11,11,0,0,1,1,5,1,2.22,3.44,3.51,0,0,0,0,5,3,6,9
541,15-16,Apr 15 2016,25,N/A,Brøndby Stadion,2357,Nordsjælland,Hobro,Won,Lost,3,0,2,1,1,1,12,9,0.41,0.59,10,14,0,0,0,2,7,3,1.44,4.79,8.23,0,0,0,0,6,3,6,6
542,15-16,Apr 16 2016,25,N/A,Right to Dream Park,7713,AGF,Randers,Lost,Won,0,3,0,2,0,0,6,6,0.57,0.43,13,10,0,0,1,1,5,6,2.64,3.36,2.87,0,0,0,0,2,3,4,3
543,15-16,Apr 17 2016,25,N/A,Right to Dream Park,4722,OB,Viborg,Won,Lost,3,0,5,1,2,0,8,10,0.46,0.54,12,8,0,0,3,3,3,4,2.51,3.33,3.06,0,0,0,0,3,4,5,6
544,15-16,Apr 17 2016,25,N/A,Ceres Park,6185,AaB,Sønderjyske,Lost,Won,0,3,1,2,1,1,9,10,0.43,0.57,11,9,0,0,2,1,5,6,1.85,3.7,4.64,0,0,0,0,4,5,5,5
545,15-16,Apr 17 2016,25,N/A,EWII Park (Odense),29178,København,Brøndby,Won,Lost,3,0,2,0,1,0,10,4,0.42,0.58,8,12,0,0,1,3,4,2,1.69,3.76,5.98,0,0,0,0,4,3,6,1
546,15-16,Apr 18 2016,25,N/A,Aalborg Portland Park,5596,Esbjerg,Midtjylland,Lost,Won,0,3,0,2,0,1,9,10,0.52,0.48,10,15,0,0,2,0,4,5,2.98,3.43,2.51,0,0,0,0,4,4,5,6
547,15-16,Apr 22 2016,26,N/A,Telia Parken,7011,Midtjylland,OB,Won,Lost,3,0,2,0,1,0,12,6,0.48,0.52,15,5,0,0,3,1,6,3,1.85,3.8,4.49,0,0,0,0,8,3,4,3
548,15-16,Apr 23 2016,26,N/A,Blue Water Arena,1570,Hobro,Esbjerg,Draw,Draw,1,1,2,2,0,1,12,11,0.52,0.48,16,14,0,0,6,4,3,5,4.85,3.82,1.79,0,0,0,0,3,7,9,4
549,15-16,Apr 24 2016,26,N/A,MCH Arena,5585,Sønderjyske,Nordsjælland,Won,Lost,3,0,3,1,1,0,8,10,0.53,0.47,16,7,0,0,3,1,3,10,2.41,3.38,3.19,0,0,0,0,4,5,4,5
550,15-16,Apr 24 2016,26,N/A,HDS Arena,4437,Viborg,København,Draw,Draw,1,1,1,1,1,0,4,20,0.68,0.32,16,9,1,0,3,0,4,11,4.75,3.47,1.9,0,0,0,0,2,12,2,8
551,15-16,Apr 24 2016,26,N/A,Sydbank Park,8440,Brøndby,AGF,Won,Lost,3,0,2,1,1,1,11,6,0.41,0.59,11,12,0,1,0,2,4,4,1.96,3.52,4.32,0,0,0,0,0,3,11,3
552,15-16,Apr 25 2016,26,N/A,Energi Viborg Arena,4136,Randers,AaB,Draw,Draw,1,1,0,0,0,0,11,5,0.49,0.51,8,10,0,0,1,0,6,0,2.56,3.34,2.98,0,0,0,0,6,4,5,1
553,15-16,Apr 29 2016,27,N/A,Brøndby Stadion,4672,AGF,Viborg,Lost,Won,0,3,1,2,0,1,13,9,0.38,0.62,14,8,0,0,3,2,7,1,2.5,3.29,3.11,0,0,0,0,4,6,9,3
554,15-16,Apr 30 2016,27,N/A,BioNutria Park Randers,1337,Hobro,Sønderjyske,Lost,Won,0,3,1,2,1,2,11,9,0.5,0.5,18,10,0,0,3,3,4,3,5.59,3.88,1.7,0,0,0,0,6,2,5,7
555,15-16,May 01 2016,27,N/A,Ceres Park,3702,Nordsjælland,Randers,Draw,Draw,1,1,2,2,0,1,5,11,0.5,0.5,10,8,1,0,4,0,2,5,2.84,3.27,2.72,0,0,0,0,3,6,2,5
556,15-16,May 01 2016,27,N/A,HDS Arena,9420,AaB,Brøndby,Won,Lost,3,0,3,0,0,0,12,7,0.37,0.63,8,14,0,0,2,3,12,1,2.32,3.41,3.32,0,0,0,0,7,0,5,7
557,15-16,May 01 2016,27,N/A,Right to Dream Park,18089,København,Midtjylland,Won,Lost,3,0,5,3,2,0,9,5,0.53,0.47,12,12,0,0,3,2,11,2,1.93,3.49,4.55,0,0,0,0,5,4,4,1
558,15-16,May 02 2016,27,N/A,Aalborg Portland Park,5675,Esbjerg,OB,Lost,Won,0,3,0,2,0,1,10,10,0.56,0.44,8,6,0,0,3,2,4,6,2.58,3.47,2.86,0,0,0,0,6,4,4,6
559,15-16,May 06 2016,28,N/A,Telia Parken,7684,Sønderjyske,Esbjerg,Won,Lost,3,0,2,0,1,0,11,4,0.58,0.42,6,10,0,0,2,4,10,3,1.88,3.69,4.51,0,0,0,0,5,2,6,2
560,15-16,May 07 2016,28,N/A,Blue Water Arena,4599,Randers,Hobro,Won,Lost,3,0,2,0,0,0,16,9,0.47,0.53,5,11,0,0,1,1,6,6,1.31,5.4,9.99,0,0,0,0,7,2,9,7
561,15-16,May 08 2016,28,N/A,Sydbank Park,4655,Viborg,AaB,Lost,Won,0,3,0,2,0,1,17,7,0.49,0.51,13,4,0,0,2,0,8,3,3.08,3.42,2.45,0,0,0,0,7,3,10,4
562,15-16,May 08 2016,28,N/A,BioNutria Park Randers,9911,OB,København,Lost,Won,0,3,0,1,0,1,6,8,0.56,0.44,9,15,0,0,1,1,3,4,4.91,3.84,1.78,0,0,0,0,4,0,2,8
563,15-16,May 08 2016,28,N/A,Energi Viborg Arena,8002,Midtjylland,AGF,Draw,Draw,1,1,1,1,0,1,11,7,0.44,0.56,11,16,0,0,2,3,2,1,1.6,4.13,6.41,0,0,0,0,8,2,3,5
564,15-16,May 09 2016,28,N/A,EWII Park (Odense),8951,Brøndby,Nordsjælland,Won,Lost,3,0,2,1,1,0,10,7,0.46,0.54,10,16,0,0,2,0,8,3,1.87,3.67,4.59,0,0,0,0,3,3,7,4
565,15-16,May 11 2016,29,N/A,MCH Arena,6345,Sønderjyske,Viborg,Won,Lost,3,0,2,0,1,0,10,9,0.51,0.49,14,8,0,0,1,1,3,6,2.15,3.49,3.64,0,0,0,0,5,2,5,7
566,15-16,May 11 2016,29,N/A,Brøndby Stadion,1411,Hobro,Midtjylland,Lost,Won,0,3,1,4,1,0,8,12,0.62,0.38,18,8,0,0,2,1,6,8,6.2,4.48,1.56,0,0,0,0,4,5,4,7
567,15-16,May 11 2016,29,N/A,Sydbank Park,5032,AGF,Esbjerg,Won,Lost,3,0,5,1,1,0,8,7,0.56,0.44,9,9,0,0,2,2,4,8,2.17,3.48,3.6,0,0,0,0,6,3,2,4
568,15-16,May 12 2016,29,N/A,HDS Arena,2526,Nordsjælland,OB,Lost,Won,0,3,0,1,0,1,12,12,0.52,0.48,15,14,1,0,2,1,1,5,2.58,3.42,2.9,0,0,0,0,6,6,6,6
569,15-16,May 12 2016,29,N/A,Ceres Park,5671,Randers,Brøndby,Lost,Won,0,3,0,2,0,1,20,9,0.39,0.61,7,11,0,0,0,0,10,2,2.5,3.33,3.08,0,0,0,0,10,3,10,6
570,15-16,May 12 2016,29,N/A,Right to Dream Park,10036,AaB,København,Lost,Won,0,3,0,2,0,1,6,11,0.51,0.49,6,15,0,0,3,2,4,5,3.3,3.42,2.33,0,0,0,0,2,3,4,8
571,15-16,May 14 2016,30,N/A,BioNutria Park Randers,7017,Midtjylland,Sønderjyske,Won,Lost,3,0,3,2,1,1,10,8,0.52,0.48,17,18,0,0,2,2,4,4,1.93,3.62,4.35,0,0,0,0,5,4,5,4
572,15-16,May 15 2016,30,N/A,Aalborg Portland Park,5776,OB,Hobro,Lost,Won,0,3,0,1,0,1,12,8,0.4,0.6,5,17,0,0,0,3,7,7,1.35,5.25,9.99,0,0,0,0,6,4,6,4
573,15-16,May 16 2016,30,N/A,MCH Arena,4304,Viborg,Randers,Lost,Won,0,3,2,3,1,0,9,14,0.51,0.49,9,10,0,0,2,1,3,5,3.13,3.34,2.46,0,0,0,0,3,6,6,8
574,15-16,May 16 2016,30,N/A,EWII Park (Odense),23063,København,Nordsjælland,Won,Lost,3,0,2,0,0,0,15,7,0.43,0.57,14,6,0,0,3,1,10,4,1.36,5.15,9.99,0,0,0,0,9,5,6,2
575,15-16,May 16 2016,30,N/A,Energi Viborg Arena,8097,Esbjerg,Brøndby,Lost,Won,0,3,2,3,2,0,5,15,0.64,0.36,10,5,0,0,2,1,3,12,3.67,3.5,2.14,0,0,0,0,3,7,2,8
576,15-16,May 17 2016,30,N/A,Telia Parken,5551,AGF,AaB,Won,Lost,3,0,2,0,0,0,10,12,0.64,0.36,16,11,0,0,3,2,3,6,3.24,3.52,2.31,0,0,0,0,7,6,3,6
577,15-16,May 20 2016,31,N/A,Blue Water Arena,7242,Sønderjyske,OB,Won,Lost,3,0,3,1,2,1,10,10,0.54,0.46,9,11,0,0,1,6,4,7,1.75,3.94,5,0,0,0,0,4,4,6,6
578,15-16,May 21 2016,31,N/A,Ceres Park,3012,Nordsjælland,AGF,Draw,Draw,1,1,3,3,1,0,2,15,0.56,0.44,8,9,0,0,1,1,7,5,2.86,3.47,2.58,0,0,0,0,0,7,2,8
579,15-16,May 22 2016,31,N/A,Sydbank Park,4819,Randers,Midtjylland,Lost,Won,0,3,1,2,0,0,16,6,0.54,0.46,11,13,1,0,0,2,9,5,2.77,3.5,2.64,0,0,0,0,7,5,9,1
580,15-16,May 22 2016,31,N/A,Right to Dream Park,3144,Hobro,København,Won,Lost,3,0,4,2,2,0,8,6,0.65,0.35,18,8,0,0,1,2,3,4,8.03,4.59,1.47,0,0,0,0,7,2,1,4
581,15-16,May 22 2016,31,N/A,BioNutria Park Randers,6598,AaB,Esbjerg,Lost,Won,0,3,1,2,0,1,10,7,0.35,0.65,8,7,1,1,4,2,2,1,1.48,4.69,7.42,0,0,0,0,4,3,6,4
582,15-16,May 23 2016,31,N/A,HDS Arena,10116,Brøndby,Viborg,Lost,Won,0,3,0,1,0,1,9,7,0.45,0.55,14,10,1,0,4,2,2,4,1.55,4.33,6.79,0,0,0,0,5,3,4,4
583,15-16,May 26 2016,32,N/A,Aalborg Portland Park,6308,AGF,OB,Won,Lost,3,0,2,1,1,0,8,10,0.55,0.45,18,7,0,0,1,1,2,6,0,0,0,0,0,0,0,4,6,4,4
584,15-16,May 26 2016,32,N/A,Brøndby Stadion,1754,Nordsjælland,Viborg,Won,Lost,3,0,1,0,1,0,7,13,0.49,0.51,13,9,0,0,1,0,2,6,2.13,3.69,3.52,0,0,0,0,5,4,2,9
585,15-16,May 26 2016,32,N/A,Ceres Park,7403,AaB,Midtjylland,Draw,Draw,1,1,0,0,0,0,11,11,0.56,0.44,8,17,0,0,2,4,5,5,2.95,3.56,2.47,0,0,0,0,4,5,7,6
586,15-16,May 26 2016,32,N/A,Right to Dream Park,3231,Hobro,Brøndby,Lost,Won,0,3,0,2,0,1,12,10,0.47,0.53,12,12,1,0,1,2,5,6,6.37,4.53,1.55,0,0,0,0,7,2,5,8
587,15-16,May 26 2016,32,N/A,Aalborg Portland Park,8125,Sønderjyske,Randers,Draw,Draw,1,1,1,1,1,0,13,7,0.53,0.47,4,12,0,0,0,2,8,6,1.9,3.8,4.27,0,0,0,0,6,2,7,5
588,15-16,May 26 2016,32,N/A,HDS Arena,6089,Esbjerg,København,Lost,Won,0,3,1,4,1,0,8,4,0.58,0.42,9,11,0,0,1,1,6,9,4.67,3.99,1.79,0,0,0,0,3,2,5,2
589,15-16,May 29 2016,33,N/A,Sydbank Park,8541,Randers,Esbjerg,Won,Lost,3,0,3,1,3,1,12,10,0.49,0.51,7,8,0,0,0,1,3,1,1.6,4.33,5.95,0,0,0,0,6,4,6,6
590,15-16,May 29 2016,33,N/A,Blue Water Arena,18958,Brøndby,Sønderjyske,Lost,Won,0,3,1,2,1,0,8,4,0.52,0.48,9,6,0,0,2,3,5,2,2.42,3.19,3.35,0,0,0,0,2,2,6,2
591,15-16,May 29 2016,33,N/A,BioNutria Park Randers,6056,OB,AaB,Won,Lost,3,0,3,2,0,2,11,8,0.48,0.52,11,9,0,0,2,0,5,4,2.72,3.61,2.63,0,0,0,0,4,5,7,3
592,15-16,May 29 2016,33,N/A,Brøndby Stadion,4154,Viborg,Hobro,Won,Lost,3,0,1,0,0,0,14,10,0.48,0.52,9,16,0,0,1,0,11,3,1.58,4.34,6.12,0,0,0,0,3,3,11,7
593,15-16,May 29 2016,33,N/A,EWII Park (Odense),9514,Midtjylland,Nordsjælland,Won,Lost,3,0,4,1,2,0,12,8,0.53,0.47,10,13,0,0,0,1,8,3,1.41,5.1,8.5,0,0,0,0,6,4,6,4
594,15-16,May 29 2016,33,N/A,Energi Viborg Arena,27466,København,AGF,Won,Lost,3,0,2,1,0,0,14,12,0.47,0.53,11,7,0,0,0,5,4,5,0,0,0,0,0,0,0,4,3,10,9
595,16-17,Jul 15 2016,1,N/A,MCH Arena,2580,Viborg,Nordsjælland,Lost,Won,0,3,0,4,0,2,8,7,0.58,0.42,9,12,0,0,2,2,1,3,2.38,3.35,3.26,0,0,0,0,4,2,4,5
596,16-17,Jul 15 2016,1,N/A,Telia Parken,10778,OB,Silkeborg,Draw,Draw,1,1,0,0,0,0,17,6,0.36,0.64,10,8,0,0,1,1,11,2,1.93,3.61,4.37,0,0,0,0,6,3,11,3
597,16-17,Jul 16 2016,1,N/A,No value,9953,København,Lyngby,Won,Lost,3,0,3,0,1,0,17,8,0.37,0.63,7,17,0,0,2,2,5,5,1.48,4.55,7.74,0,0,0,0,7,3,10,5
598,16-17,Jul 17 2016,1,N/A,Energi Viborg Arena,5474,Sønderjyske,AGF,Lost,Won,0,3,1,2,0,1,9,7,0.54,0.46,16,15,0,0,1,3,6,2,0,0,0,0,0,0,0,5,3,4,4
599,16-17,Jul 17 2016,1,N/A,EWII Park (Odense),6493,AaB,Horsens,Draw,Draw,1,1,1,1,0,0,12,7,0.36,0.64,10,16,0,0,1,1,5,2,1.82,3.74,4.8,0,0,0,0,7,5,5,2
600,16-17,Jul 17 2016,1,N/A,Telia Parken,10397,Brøndby,Esbjerg,Won,Lost,3,0,4,0,2,0,11,7,0.48,0.52,12,6,0,0,0,1,6,5,1.83,3.73,4.72,0,0,0,0,8,0,3,7
601,16-17,Jul 18 2016,1,N/A,Sydbank Park,5725,Midtjylland,Randers,Draw,Draw,1,1,2,2,1,1,11,3,0.45,0.55,17,16,0,0,3,2,3,0,1.99,3.55,4.15,0,0,0,0,6,0,5,3
602,16-17,Jul 22 2016,2,N/A,Aalborg Portland Park,8156,AGF,Viborg,Won,Lost,3,0,2,1,2,1,5,6,0.49,0.51,12,12,0,0,2,1,1,5,2.06,3.49,3.95,0,0,0,0,2,4,3,2
603,16-17,Jul 23 2016,2,N/A,Brøndby Stadion,5439,Esbjerg,København,Lost,Won,0,3,0,4,0,1,5,19,0.65,0.35,12,3,0,0,2,0,3,9,5.88,4.04,1.65,0,0,0,0,4,9,1,10
604,16-17,Jul 24 2016,2,N/A,MCH Arena,2653,Horsens,Sønderjyske,Draw,Draw,1,1,1,1,1,1,5,12,0.65,0.35,14,8,0,0,2,3,0,8,3.04,3.43,2.47,0,0,0,0,3,3,2,9
605,16-17,Jul 24 2016,2,N/A,Ceres Park,2006,Lyngby,OB,Draw,Draw,1,1,2,2,1,2,10,10,0.47,0.53,12,11,0,1,2,3,5,4,2.98,3.43,2.51,0,0,0,0,4,6,6,4
606,16-17,Jul 24 2016,2,N/A,Blue Water Arena,4902,Silkeborg,Brøndby,Lost,Won,0,3,0,2,0,1,8,17,0.61,0.39,10,12,0,0,1,1,3,10,3.7,3.59,2.1,0,0,0,0,6,6,2,11
607,16-17,Jul 24 2016,2,N/A,CASA Arena Horsens,2619,Nordsjælland,Midtjylland,Lost,Won,0,3,0,4,0,0,5,16,0.5,0.5,8,11,0,0,3,2,2,8,2.98,3.49,2.48,0,0,0,0,3,5,2,11
608,16-17,Jul 24 2016,2,N/A,Lyngby Stadion,4443,Randers,AaB,Lost,Won,0,3,0,1,0,1,11,7,0.41,0.59,7,15,0,0,0,2,8,7,2.36,3.44,3.22,0,0,0,0,4,4,7,3
609,16-17,Jul 29 2016,3,N/A,MASCOT PARK (Silkeborg),2929,Viborg,Esbjerg,Won,Lost,3,0,2,1,0,0,8,9,0.4,0.6,9,9,0,0,0,1,4,6,2.12,3.51,3.71,0,0,0,0,3,4,5,5
610,16-17,Jul 30 2016,3,N/A,Right to Dream Park,9823,København,Nordsjælland,Won,Lost,3,0,4,0,2,0,15,4,0.44,0.56,8,14,0,0,1,1,6,1,1.41,4.88,9.05,0,0,0,0,6,2,9,2
611,16-17,Jul 31 2016,3,N/A,BioNutria Park Randers,4494,Sønderjyske,Lyngby,Lost,Won,0,3,0,1,0,0,13,8,0.49,0.51,16,10,0,0,2,1,6,2,1.85,3.74,4.62,0,0,0,0,8,2,5,6
612,16-17,Jul 31 2016,3,N/A,Energi Viborg Arena,7625,Midtjylland,Silkeborg,Won,Lost,3,0,3,0,1,0,8,11,0.5,0.5,12,12,0,0,1,4,4,5,1.47,4.58,8.05,0,0,0,0,4,4,4,7
613,16-17,Jul 31 2016,3,N/A,Telia Parken,12136,Brøndby,Horsens,Draw,Draw,1,1,2,2,1,0,19,5,0.32,0.68,10,14,0,0,0,1,11,3,1.6,4.18,6.22,0,0,0,0,6,2,13,3
614,16-17,Jul 31 2016,3,N/A,Sydbank Park,13047,AGF,Randers,Lost,Won,0,3,1,2,1,2,8,8,0.42,0.58,18,16,0,0,4,4,6,3,2.5,3.39,3.03,0,0,0,0,4,4,4,4
615,16-17,Aug 01 2016,3,N/A,MCH Arena,7227,AaB,OB,Draw,Draw,1,1,2,2,2,1,6,8,0.5,0.5,10,11,0,0,1,1,2,2,2.07,3.6,3.79,0,0,0,0,3,5,3,3
616,16-17,Aug 05 2016,4,N/A,Brøndby Stadion,4326,Randers,Horsens,Won,Lost,3,0,1,0,1,0,10,12,0.49,0.51,13,14,1,1,4,2,3,5,1.67,3.92,5.88,0,0,0,0,6,4,4,8
617,16-17,Aug 05 2016,4,N/A,Ceres Park,2220,Silkeborg,Lyngby,Lost,Won,0,3,0,4,0,2,10,9,0.58,0.42,13,8,0,0,1,0,1,9,2.69,3.46,2.74,0,0,0,0,5,3,5,6
618,16-17,Aug 06 2016,4,N/A,Aalborg Portland Park,4488,OB,Viborg,Draw,Draw,1,1,0,0,0,0,8,6,0.43,0.57,18,13,0,0,2,1,4,4,2.12,3.54,3.69,0,0,0,0,4,3,4,3
619,16-17,Aug 07 2016,4,N/A,BioNutria Park Randers,2234,Nordsjælland,AaB,Lost,Won,0,3,1,2,1,0,7,10,0.61,0.39,16,6,0,0,2,0,1,11,2.91,3.59,2.48,0,0,0,0,4,4,3,6
620,16-17,Aug 07 2016,4,N/A,MASCOT PARK (Silkeborg),6054,Sønderjyske,København,Draw,Draw,1,1,1,1,0,1,12,15,0.56,0.44,13,13,0,0,3,3,5,4,5.9,4.16,1.63,0,0,0,0,5,7,7,8
621,16-17,Aug 07 2016,4,N/A,EWII Park (Odense),8889,Midtjylland,Brøndby,Draw,Draw,1,1,3,3,0,1,6,10,0.46,0.54,8,17,0,0,0,3,8,2,2,3.69,3.93,0,0,0,0,4,6,2,4
622,16-17,Aug 08 2016,4,N/A,Right to Dream Park,4605,Esbjerg,AGF,Draw,Draw,1,1,2,2,2,1,8,16,0.51,0.49,11,17,1,0,2,4,2,14,2.97,3.48,2.49,0,0,0,0,4,7,4,9
623,16-17,Aug 12 2016,5,N/A,Sydbank Park,4065,Viborg,Randers,Lost,Won,0,3,0,1,0,0,11,12,0.57,0.43,12,16,0,0,2,1,5,7,2.93,3.36,2.59,0,0,0,0,5,5,6,7
624,16-17,Aug 12 2016,5,N/A,MCH Arena,2463,Lyngby,AGF,Draw,Draw,1,1,0,0,0,0,8,6,0.46,0.54,10,15,0,0,1,4,2,3,2.86,3.49,2.57,0,0,0,0,2,3,6,3
625,16-17,Aug 13 2016,5,N/A,Blue Water Arena,2025,Horsens,Silkeborg,Draw,Draw,1,1,3,3,1,0,10,11,0.56,0.44,15,9,0,0,0,1,5,0,2.1,3.52,3.78,0,0,0,0,2,5,8,6
626,16-17,Aug 13 2016,5,N/A,Energi Viborg Arena,12074,København,Midtjylland,Won,Lost,3,0,3,1,0,1,16,7,0.36,0.64,8,12,0,0,1,2,6,3,1.63,4.18,5.75,0,0,0,0,4,3,12,4
627,16-17,Aug 14 2016,5,N/A,Lyngby Stadion,4634,OB,Nordsjælland,Won,Lost,3,0,3,1,0,0,9,10,0.47,0.53,13,11,0,0,1,1,2,8,1.73,4.06,4.98,0,0,0,0,3,3,6,7
628,16-17,Aug 14 2016,5,N/A,CASA Arena Horsens,9442,Brøndby,Sønderjyske,Won,Lost,3,0,4,0,2,0,11,3,0.36,0.64,15,5,0,0,0,1,5,3,1.83,3.7,4.82,0,0,0,0,5,0,6,3
629,16-17,Aug 15 2016,5,N/A,Telia Parken,6114,AaB,Esbjerg,Won,Lost,3,0,2,1,2,1,10,8,0.45,0.55,8,13,0,0,1,2,8,1,1.55,4.38,6.54,0,0,0,0,2,4,8,4
630,16-17,Aug 19 2016,6,N/A,EWII Park (Odense),1903,Nordsjælland,Randers,Draw,Draw,1,1,1,1,0,1,9,8,0.39,0.61,9,11,0,0,1,1,7,3,3.79,3.56,2.08,0,0,0,0,4,5,5,3
631,16-17,Aug 19 2016,6,N/A,Brøndby Stadion,1663,Horsens,Lyngby,Won,Lost,3,0,2,1,1,1,13,16,0.65,0.35,14,7,0,0,1,1,9,8,2.98,3.49,2.48,0,0,0,0,9,6,4,10
632,16-17,Aug 20 2016,6,N/A,Aalborg Portland Park,11818,København,AaB,Draw,Draw,1,1,1,1,1,1,13,4,0.51,0.49,12,12,0,0,0,3,4,5,1.51,4.47,7.11,0,0,0,0,4,0,9,4
633,16-17,Aug 21 2016,6,N/A,Right to Dream Park,2660,Silkeborg,Viborg,Lost,Won,0,3,1,5,0,2,14,18,0.46,0.54,15,12,0,0,1,0,4,9,2.88,3.46,2.57,0,0,0,0,6,9,8,9
634,16-17,Aug 21 2016,6,N/A,CASA Arena Horsens,13658,AGF,Brøndby,Lost,Won,0,3,0,7,0,4,5,8,0.61,0.39,5,13,1,0,1,2,4,6,3.05,3.59,2.39,0,0,0,0,2,4,3,4
635,16-17,Aug 21 2016,6,N/A,Telia Parken,4690,Midtjylland,Sønderjyske,Draw,Draw,1,1,2,2,1,1,14,7,0.44,0.56,10,9,0,0,1,4,8,8,1.64,4.22,5.59,0,0,0,0,7,2,7,5
636,16-17,Aug 22 2016,6,N/A,MASCOT PARK (Silkeborg),4042,Esbjerg,OB,Won,Lost,3,0,3,2,1,1,8,12,0.54,0.46,12,6,0,0,0,1,4,6,3.59,3.7,2.1,0,0,0,0,4,4,4,8
637,16-17,Aug 26 2016,7,N/A,Ceres Park,4146,Randers,Silkeborg,Won,Lost,3,0,1,0,1,0,15,5,0.42,0.58,9,13,0,0,0,1,6,2,1.55,4.34,6.73,0,0,0,0,7,3,8,2
638,16-17,Aug 26 2016,7,N/A,MCH Arena,2314,Lyngby,Nordsjælland,Lost,Won,0,3,0,1,0,1,12,7,0.46,0.54,14,17,0,0,3,3,5,2,2.22,3.6,3.37,0,0,0,0,10,5,2,2
639,16-17,Aug 28 2016,7,N/A,Blue Water Arena,4958,Sønderjyske,Esbjerg,Draw,Draw,1,1,1,1,0,0,12,10,0.48,0.52,6,11,0,0,0,1,3,6,2.07,3.7,3.68,0,0,0,0,6,4,6,6
640,16-17,Aug 28 2016,7,N/A,BioNutria Park Randers,4199,OB,Horsens,Lost,Won,0,3,0,1,0,1,17,5,0.33,0.67,10,7,0,0,2,3,11,1,1.81,3.84,4.75,0,0,0,0,4,4,13,1
641,16-17,Aug 28 2016,7,N/A,Lyngby Stadion,23518,Brøndby,København,Draw,Draw,1,1,1,1,0,1,21,11,0.44,0.56,21,15,0,0,3,3,8,3,3.65,3.47,2.16,0,0,0,0,8,5,13,6
