index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
24,13-14,Aug 16 2013,5,N/A,MCH Arena,10745,Midtjylland,Brøndby,Won,Lost,3,0,5,2,2,1,10,11,0.5,0.5,17,13,0,0,2,1,5,4,1.99,3.55,4.07,0,0,0,0,6,4,4,7
25,13-14,Aug 17 2013,5,N/A,Right to Dream Park,4013,Nordsjælland,AaB,Won,Lost,3,0,2,1,1,1,9,8,0.53,0.47,7,7,0,0,1,0,5,9,2.23,3.53,3.35,0,0,0,0,7,4,2,4
26,13-14,Aug 18 2013,5,N/A,Harboe Arena Slagelse,4434,Vestsjælland,OB,Draw,Draw,1,1,1,1,0,1,10,6,0.51,0.49,9,10,0,0,2,2,7,3,3.02,3.48,2.43,0,0,0,0,4,4,6,2
27,13-14,Aug 18 2013,5,N/A,Sydbank Park,2654,Sønderjyske,Viborg,Lost,Won,0,3,0,3,0,2,7,9,0.49,0.51,12,13,0,0,0,3,7,3,1.93,3.63,4.24,0,0,0,0,5,3,2,6
28,13-14,Aug 18 2013,5,N/A,Telia Parken,13316,København,AGF,Draw,Draw,1,1,1,1,1,1,12,9,0.49,0.51,17,12,0,0,1,4,8,3,0,0,0,0,0,0,0,5,4,7,5
29,13-14,Aug 19 2013,5,N/A,BioNutria Park Randers,3850,Randers,Esbjerg,Won,Lost,3,0,3,2,0,1,15,4,0.48,0.52,10,13,0,0,3,2,4,3,2.78,3.4,2.66,0,0,0,0,6,2,9,2
30,13-14,Aug 23 2013,6,N/A,Ceres Park,8925,AGF,Sønderjyske,Won,Lost,3,0,3,1,1,1,5,13,0.5,0.5,10,13,0,0,3,1,3,6,0,0,0,0,0,0,0,2,4,3,9
31,13-14,Aug 25 2013,6,N/A,EWII Park (Odense),7716,OB,Nordsjælland,Won,Lost,3,0,1,0,0,0,12,7,0.47,0.53,13,7,0,0,3,3,10,2,2.57,3.5,2.82,0,0,0,0,4,2,8,5
32,13-14,Aug 25 2013,6,N/A,Energi Viborg Arena,5156,Viborg,Esbjerg,Won,Lost,3,0,3,1,1,0,6,12,0.53,0.47,9,4,0,0,2,0,3,6,3.39,3.56,2.2,0,0,0,0,0,4,6,8
33,13-14,Aug 25 2013,6,N/A,Telia Parken,18778,København,Vestsjælland,Draw,Draw,1,1,1,1,1,1,19,10,0.5,0.5,4,16,0,0,2,4,14,3,1.37,5.09,9.8,0,0,0,0,6,5,13,5
34,13-14,Aug 25 2013,6,N/A,Brøndby Stadion,16086,Brøndby,Randers,Draw,Draw,1,1,0,0,0,0,18,7,0.5,0.5,10,10,0,0,2,2,5,6,2.4,3.43,3.1,0,0,0,0,7,5,11,2
35,13-14,Aug 26 2013,6,N/A,Aalborg Portland Park,7392,AaB,Midtjylland,Draw,Draw,1,1,1,1,1,0,10,15,0.51,0.49,12,13,0,0,1,4,4,8,2.76,3.42,2.67,0,0,0,0,4,6,6,9
36,13-14,Aug 30 2013,7,N/A,EWII Park (Odense),8069,OB,AGF,Lost,Won,0,3,3,6,2,1,7,9,0.52,0.48,14,10,0,0,1,2,5,4,0,0,0,0,0,0,0,3,2,4,7
37,13-14,Sep 01 2013,7,N/A,Right to Dream Park,4159,Nordsjælland,Vestsjælland,Lost,Won,0,3,1,2,1,0,12,9,0.53,0.47,19,13,0,0,3,4,2,7,1.8,3.81,4.72,0,0,0,0,7,5,5,4
38,13-14,Sep 01 2013,7,N/A,Blue Water Arena,8568,Esbjerg,Midtjylland,Draw,Draw,1,1,1,1,1,0,10,11,0.49,0.51,12,10,0,1,1,2,4,6,2.5,3.47,2.92,0,0,0,0,6,7,4,4
39,13-14,Sep 01 2013,7,N/A,Energi Viborg Arena,8212,Viborg,København,Lost,Won,0,3,1,4,0,2,9,19,0.52,0.48,12,6,0,0,1,1,7,9,4.94,3.93,1.75,0,0,0,0,3,6,6,13
40,13-14,Sep 01 2013,7,N/A,Aalborg Portland Park,8566,AaB,Brøndby,Won,Lost,3,0,2,1,0,0,14,13,0.53,0.47,7,17,0,0,3,3,10,5,2.39,3.46,3.1,0,0,0,0,6,6,8,7
41,13-14,Sep 02 2013,7,N/A,BioNutria Park Randers,4015,Randers,Sønderjyske,Lost,Won,0,3,0,2,0,0,9,9,0.5,0.5,9,14,1,0,2,2,12,2,2.04,3.62,3.78,0,0,0,0,4,3,5,6
42,13-14,Sep 13 2013,8,N/A,Sydbank Park,3123,Sønderjyske,AaB,Lost,Won,0,3,1,3,1,1,9,12,0.47,0.53,13,10,1,0,4,3,5,4,2.55,3.49,2.85,0,0,0,0,2,2,7,10
43,13-14,Sep 14 2013,8,N/A,Telia Parken,20697,København,Esbjerg,Draw,Draw,1,1,1,1,0,1,18,12,0.47,0.53,15,17,1,0,1,3,5,2,1.67,4.06,5.45,0,0,0,0,5,5,13,7
44,13-14,Sep 15 2013,8,N/A,Ceres Park,9625,AGF,Viborg,Lost,Won,0,3,0,1,0,1,11,8,0.48,0.52,5,8,0,0,1,1,8,4,1.71,4.05,5,0,0,0,0,9,4,2,4
45,13-14,Sep 15 2013,8,N/A,Harboe Arena Slagelse,4181,Vestsjælland,Randers,Won,Lost,3,0,2,0,0,0,8,9,0.47,0.53,13,8,0,0,2,0,5,2,2.91,3.39,2.55,0,0,0,0,3,3,5,6
46,13-14,Sep 15 2013,8,N/A,Brøndby Stadion,12487,Brøndby,OB,Won,Lost,3,0,2,1,1,0,20,10,0.53,0.47,14,8,0,0,2,2,7,4,2.37,3.47,3.13,0,0,0,0,9,5,11,5
47,13-14,Sep 16 2013,8,N/A,MCH Arena,6290,Midtjylland,Nordsjælland,Won,Lost,3,0,2,1,1,1,7,19,0.53,0.47,16,11,0,0,3,3,3,4,1.95,3.73,4.01,0,0,0,0,6,7,1,12
48,13-14,Sep 20 2013,9,N/A,BioNutria Park Randers,5690,Randers,AaB,Won,Lost,3,0,3,2,2,1,11,11,0.47,0.53,14,12,0,0,2,1,10,4,2.79,3.42,2.64,0,0,0,0,4,5,7,6
49,13-14,Sep 21 2013,9,N/A,MCH Arena,9195,Midtjylland,Viborg,Draw,Draw,1,1,0,0,0,0,18,6,0.52,0.48,10,8,0,0,1,2,9,2,1.69,4.08,5.12,0,0,0,0,11,2,7,4
50,13-14,Sep 22 2013,9,N/A,Sydbank Park,2871,Sønderjyske,Nordsjælland,Won,Lost,3,0,2,0,2,0,8,12,0.5,0.5,15,19,0,0,1,3,1,8,2.87,3.55,2.5,0,0,0,0,4,4,4,8
51,13-14,Sep 22 2013,9,N/A,Ceres Park,14488,AGF,Brøndby,Lost,Won,0,3,1,3,0,1,9,19,0.48,0.52,4,10,0,0,1,2,4,10,2.42,3.55,2.98,0,0,0,0,0,10,9,9
52,13-14,Sep 22 2013,9,N/A,Telia Parken,11008,København,OB,Won,Lost,3,0,2,1,0,1,13,10,0.5,0.5,13,10,0,0,4,3,12,3,1.52,4.57,6.5,0,0,0,0,3,6,10,4
53,13-14,Sep 23 2013,9,N/A,Harboe Arena Slagelse,5285,Vestsjælland,Esbjerg,Lost,Won,0,3,1,3,0,3,6,7,0.49,0.51,7,13,0,0,2,2,3,8,3.17,3.34,2.41,0,0,0,0,2,3,4,4
