index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
0,13-14,Jul 19 2013,1,,Ceres Park,9364,AGF,Midtjylland,Lost,Won,0,3,0,2,0,2,8,11,0.05,0.05,7,15,1,0,1,1,5,4,2.59,3.43,"14,166,667",0,0,0,0,3,3,5,8,"[56.1327356, 10.196762]"
1,13-14,Jul 20 2013,1,,Energi Viborg Arena,4771,Viborg,Randers,Draw,Draw,1,1,2,2,0,1,9,10,0.48,0.52,9,5,0,0,1,2,4,1,3.16,3.39,2.39,0,0,0,0,2,4,7,6,"[56.455903899999996, 9.402020349999999]"
2,13-14,Jul 21 2013,1,,EWII Park (Odense),7114,OB,Sønderjyske,Draw,Draw,1,1,1,1,1,0,7,16,0.52,0.48,10,12,0,0,2,2,4,11,2.06,"16,805,556","17,638,889",0,0,0,0,4,8,3,8,"[55.397745, 10.35022492586062]"
3,13-14,Jul 21 2013,1,,Brøndby Stadion,18770,Brøndby,Vestsjælland,Draw,Draw,1,1,1,1,1,0,16,8,0.53,0.47,10,12,0,0,2,1,8,2,"9,652,778","17,222,222","23,472,222",0,0,0,0,4,4,12,4,"[55.6480283, 12.4154952]"
4,13-14,Jul 21 2013,1,,Aalborg Portland Park,7062,AaB,København,Won,Lost,3,0,2,1,0,0,6,13,0.51,0.49,13,9,0,0,2,2,1,4,"18,888,889","16,944,444",2,0,0,0,0,3,6,3,7,"[57.05203525, 9.898599342025985]"
5,13-14,Jul 22 2013,1,,Blue Water Arena,7594,Esbjerg,Nordsjælland,Won,Lost,3,0,4,0,3,0,3,7,0.49,0.51,18,9,0,0,2,0,3,8,"14,861,111",3.38,2.54,0,0,0,0,0,5,3,2,"[55.48194305, 8.438397123328269]"
6,13-14,Jul 26 2013,2,,Right to Dream Park,5067,Nordsjælland,Viborg,Draw,Draw,1,1,1,1,1,0,14,9,0.47,0.53,7,9,0,0,2,2,6,7,"9,375",3.09,"23,194,444",0,0,0,0,5,5,9,4,"[55.81619865, 12.353032590985052]"
7,13-14,Jul 27 2013,2,,Harboe Arena Slagelse,3859,Vestsjælland,AGF,Lost,Won,0,3,0,2,0,1,14,10,0.49,0.51,9,13,0,0,0,1,2,1,"13,819,444",3.38,"12,916,667",0,0,0,0,7,7,7,3,"[55.40040215, 11.364318154012732]"
8,13-14,Jul 28 2013,2,,BioNutria Park Randers,4852,Randers,OB,Draw,Draw,1,1,1,1,1,0,14,12,0.48,0.52,13,12,0,0,1,2,7,4,2.09,3.56,"17,291,667",0,0,0,0,7,6,7,6,"[56.46607165, 10.010154126188361]"
9,13-14,Jul 28 2013,2,,Sydbank Park,5700,Sønderjyske,Brøndby,Won,Lost,3,0,1,0,0,0,12,9,0.52,0.48,13,16,0,0,2,3,4,1,2.56,3.55,"13,819,444",0,0,0,0,5,3,7,6,"[55.2613291, 9.487707200000001]"
10,13-14,Jul 28 2013,2,,MCH Arena,8759,Midtjylland,København,Won,Lost,3,0,1,0,1,0,10,13,0.52,0.48,10,10,0,0,3,1,4,7,3.37,3.59,2.02,0,0,0,0,4,6,6,7,"[56.1169164, 8.951716477487706]"
11,13-14,Jul 29 2013,2,,Blue Water Arena,9517,Esbjerg,AaB,Lost,Won,0,3,1,2,1,0,11,11,0.51,0.49,11,7,0,0,3,0,7,7,2.02,"16,944,444","18,125",0,0,0,0,3,2,8,9,"[55.48194305, 8.438397123328269]"
12,13-14,Aug 02 2013,3,,MCH Arena,5145,Midtjylland,Sønderjyske,Won,Lost,3,0,2,1,0,0,8,11,0.51,0.49,10,12,0,0,1,4,6,8,"10,069,444","17,916,667",4.47,0,0,0,0,2,5,6,6,"[56.1169164, 8.951716477487706]"
13,13-14,Aug 03 2013,3,,Ceres Park,6997,AGF,Nordsjælland,Won,Lost,3,0,2,1,0,0,7,10,0.47,0.53,12,9,0,0,1,1,3,2,"13,472,222",3.43,"13,055,556",0,0,0,0,6,4,1,6,"[56.1327356, 10.196762]"
14,13-14,Aug 04 2013,3,,EWII Park (Odense),7889,OB,Viborg,Won,Lost,3,0,4,2,2,1,7,11,0.47,0.53,9,15,0,0,1,4,5,3,2.09,3.07,3.56,0,0,0,0,4,3,3,8,"[55.397745, 10.35022492586062]"
15,13-14,Aug 04 2013,3,,Telia Parken,12956,København,Randers,Lost,Won,0,3,1,3,1,1,19,11,0.48,0.52,10,7,0,0,0,1,7,6,1.54,4.03,"30,277,778",0,0,0,0,5,5,14,6,"[55.70270425, 12.572263776860414]"
16,13-14,Aug 04 2013,3,,Brøndby Stadion,14771,Brøndby,Esbjerg,Lost,Won,0,3,0,2,0,0,12,9,0.51,0.49,13,12,0,0,1,1,8,4,"13,541,667",3.04,"13,125",0,0,0,0,4,4,8,5,"[55.6480283, 12.4154952]"
17,13-14,Aug 05 2013,3,,Harboe Arena Slagelse,1688,Vestsjælland,AaB,Won,Lost,3,0,2,1,1,0,13,13,0.49,0.51,9,14,0,0,1,2,6,8,"18,333,333",3.49,2.06,0,0,0,0,3,7,10,6,"[55.40040215, 11.364318154012732]"
18,13-14,Aug 09 2013,4,,Energi Viborg Arena,9047,Viborg,Brøndby,Draw,Draw,1,1,2,2,1,0,10,15,0.05,0.05,18,6,0,0,3,1,2,11,"14,791,667",3.45,2.05,0,0,0,0,2,6,8,9,"[56.455903899999996, 9.402020349999999]"
19,13-14,Aug 10 2013,4,,Blue Water Arena,8012,Esbjerg,AGF,Won,Lost,3,0,5,1,1,0,8,8,0.47,0.53,5,9,0,0,1,3,9,3,2.12,3.53,"16,944,444",0,0,0,0,4,6,4,2,"[55.48194305, 8.438397123328269]"
20,13-14,Aug 11 2013,4,,BioNutria Park Randers,5064,Randers,Midtjylland,Lost,Won,0,3,1,3,1,1,10,14,0.05,0.05,8,10,0,0,1,2,6,5,"12,569,444",3.49,"1,375",0,0,0,0,3,4,7,10,"[56.46607165, 10.010154126188361]"
21,13-14,Aug 11 2013,4,,Aalborg Portland Park,6369,AaB,OB,Draw,Draw,1,1,0,0,0,0,17,11,0.49,0.51,11,13,0,0,0,2,8,3,2.04,"16,805,556","17,777,778",0,0,0,0,5,4,12,7,"[57.05203525, 9.898599342025985]"
22,13-14,Aug 11 2013,4,,Right to Dream Park,7769,Nordsjælland,København,Draw,Draw,1,1,2,2,1,1,10,10,0.53,0.47,12,11,0,0,2,3,1,1,3.44,3.59,2.17,0,0,0,0,2,4,8,6,"[55.81619865, 12.353032590985052]"
23,13-14,Aug 12 2013,4,,Sydbank Park,2739,Sønderjyske,Vestsjælland,Draw,Draw,1,1,0,0,0,0,12,11,0.48,0.52,12,15,0,0,2,3,8,5,"10,069,444","17,777,778",4.45,0,0,0,0,4,5,8,6,"[55.2613291, 9.487707200000001]"
24,13-14,Aug 16 2013,5,,MCH Arena,10745,Midtjylland,Brøndby,Won,Lost,3,0,5,2,2,1,10,11,0.05,0.05,17,13,0,0,2,1,5,4,"11,041,667",3.55,4.07,0,0,0,0,6,4,4,7,"[56.1169164, 8.951716477487706]"
25,13-14,Aug 17 2013,5,,Right to Dream Park,4013,Nordsjælland,AaB,Won,Lost,3,0,2,1,1,1,9,8,0.53,0.47,7,7,0,0,1,0,5,9,2.23,3.53,3.35,0,0,0,0,7,4,2,4,"[55.81619865, 12.353032590985052]"
26,13-14,Aug 18 2013,5,,Harboe Arena Slagelse,4434,Vestsjælland,OB,Draw,Draw,1,1,1,1,0,1,10,6,0.51,0.49,9,10,0,0,2,2,7,3,3.02,3.48,2.43,0,0,0,0,4,4,6,2,"[55.40040215, 11.364318154012732]"
27,13-14,Aug 18 2013,5,,Sydbank Park,2654,Sønderjyske,Viborg,Lost,Won,0,3,0,3,0,2,7,9,0.49,0.51,12,13,0,0,0,3,7,3,"10,625","16,875",4.24,0,0,0,0,5,3,2,6,"[55.2613291, 9.487707200000001]"
28,13-14,Aug 18 2013,5,,Telia Parken,13316,København,AGF,Draw,Draw,1,1,1,1,1,1,12,9,0.49,0.51,17,12,0,0,1,4,8,3,0,0,0,0,0,0,0,5,4,7,5,"[55.70270425, 12.572263776860414]"
29,13-14,Aug 19 2013,5,,BioNutria Park Randers,3850,Randers,Esbjerg,Won,Lost,3,0,3,2,0,1,15,4,0.48,0.52,10,13,0,0,3,2,4,3,"1,375",3.04,"12,916,667",0,0,0,0,6,2,9,2,"[56.46607165, 10.010154126188361]"
30,13-14,Aug 23 2013,6,,Ceres Park,8925,AGF,Sønderjyske,Won,Lost,3,0,3,1,1,1,5,13,0.05,0.05,10,13,0,0,3,1,3,6,0,0,0,0,0,0,0,2,4,3,9,"[56.1327356, 10.196762]"
31,13-14,Aug 25 2013,6,,EWII Park (Odense),7716,OB,Nordsjælland,Won,Lost,3,0,1,0,0,0,12,7,0.47,0.53,13,7,0,0,3,3,10,2,2.57,3.05,"14,027,778",0,0,0,0,4,2,8,5,"[55.397745, 10.35022492586062]"
32,13-14,Aug 25 2013,6,,Energi Viborg Arena,5156,Viborg,Esbjerg,Won,Lost,3,0,3,1,1,0,6,12,0.53,0.47,9,4,0,0,2,0,3,6,3.39,3.56,2.02,0,0,0,0,0,4,6,8,"[56.455903899999996, 9.402020349999999]"
33,13-14,Aug 25 2013,6,,Telia Parken,18778,København,Vestsjælland,Draw,Draw,1,1,1,1,1,1,19,10,0.05,0.05,4,16,0,0,2,4,14,3,1.37,5.09,9.08,0,0,0,0,6,5,13,5,"[55.70270425, 12.572263776860414]"
34,13-14,Aug 25 2013,6,,Brøndby Stadion,16086,Brøndby,Randers,Draw,Draw,1,1,0,0,0,0,18,7,0.05,0.05,10,10,0,0,2,2,5,6,2.04,3.43,3.01,0,0,0,0,7,5,11,2,"[55.6480283, 12.4154952]"
35,13-14,Aug 26 2013,6,,Aalborg Portland Park,7392,AaB,Midtjylland,Draw,Draw,1,1,1,1,1,0,10,15,0.51,0.49,12,13,0,0,1,4,4,8,"13,611,111",3.42,"12,986,111",0,0,0,0,4,6,6,9,"[57.05203525, 9.898599342025985]"
36,13-14,Aug 30 2013,7,,EWII Park (Odense),8069,OB,AGF,Lost,Won,0,3,3,6,2,1,7,9,0.52,0.48,14,10,0,0,1,2,5,4,0,0,0,0,0,0,0,3,2,4,7,"[55.397745, 10.35022492586062]"
37,13-14,Sep 01 2013,7,,Right to Dream Park,4159,Nordsjælland,Vestsjælland,Lost,Won,0,3,1,2,1,0,12,9,0.53,0.47,19,13,0,0,3,4,2,7,1.08,"18,125","21,666,667",0,0,0,0,7,5,5,4,"[55.81619865, 12.353032590985052]"
38,13-14,Sep 01 2013,7,,Blue Water Arena,8568,Esbjerg,Midtjylland,Draw,Draw,1,1,1,1,1,0,10,11,0.49,0.51,12,10,0,1,1,2,4,6,2.05,3.47,"14,722,222",0,0,0,0,6,7,4,4,"[55.48194305, 8.438397123328269]"
39,13-14,Sep 01 2013,7,,Energi Viborg Arena,8212,Viborg,København,Lost,Won,0,3,1,4,0,2,9,19,0.52,0.48,12,6,0,0,1,1,7,9,"23,194,444","18,958,333","9,375",0,0,0,0,3,6,6,13,"[56.455903899999996, 9.402020349999999]"
40,13-14,Sep 01 2013,7,,Aalborg Portland Park,8566,AaB,Brøndby,Won,Lost,3,0,2,1,0,0,14,13,0.53,0.47,7,17,0,0,3,3,10,5,2.39,3.46,3.01,0,0,0,0,6,6,8,7,"[57.05203525, 9.898599342025985]"
41,13-14,Sep 02 2013,7,,BioNutria Park Randers,4015,Randers,Sønderjyske,Lost,Won,0,3,0,2,0,0,9,9,0.05,0.05,9,14,1,0,2,2,12,2,2.04,"16,805,556","17,916,667",0,0,0,0,4,3,5,6,"[56.46607165, 10.010154126188361]"
42,13-14,Sep 13 2013,8,,Sydbank Park,3123,Sønderjyske,AaB,Lost,Won,0,3,1,3,1,1,9,12,0.47,0.53,13,10,1,0,4,3,5,4,2.55,3.49,"14,236,111",0,0,0,0,2,2,7,10,"[55.2613291, 9.487707200000001]"
43,13-14,Sep 14 2013,8,,Telia Parken,20697,København,Esbjerg,Draw,Draw,1,1,1,1,0,1,18,12,0.47,0.53,15,17,1,0,1,3,5,2,"8,819,444",4.06,5.45,0,0,0,0,5,5,13,7,"[55.70270425, 12.572263776860414]"
44,13-14,Sep 15 2013,8,,Ceres Park,9625,AGF,Viborg,Lost,Won,0,3,0,1,0,1,11,8,0.48,0.52,5,8,0,0,1,1,8,4,"9,097,222",4.05,5,0,0,0,0,9,4,2,4,"[56.1327356, 10.196762]"
45,13-14,Sep 15 2013,8,,Harboe Arena Slagelse,4181,Vestsjælland,Randers,Won,Lost,3,0,2,0,0,0,8,9,0.47,0.53,13,8,0,0,2,0,5,2,"14,652,778",3.39,2.55,0,0,0,0,3,3,5,6,"[55.40040215, 11.364318154012732]"
46,13-14,Sep 15 2013,8,,Brøndby Stadion,12487,Brøndby,OB,Won,Lost,3,0,2,1,1,0,20,10,0.53,0.47,14,8,0,0,2,2,7,4,2.37,3.47,3.13,0,0,0,0,9,5,11,5,"[55.6480283, 12.4154952]"
47,13-14,Sep 16 2013,8,,MCH Arena,6290,Midtjylland,Nordsjælland,Won,Lost,3,0,2,1,1,1,7,19,0.53,0.47,16,11,0,0,3,3,3,4,"10,763,889","17,569,444",4.01,0,0,0,0,6,7,1,12,"[56.1169164, 8.951716477487706]"
48,13-14,Sep 20 2013,9,,BioNutria Park Randers,5690,Randers,AaB,Won,Lost,3,0,3,2,2,1,11,11,0.47,0.53,14,12,0,0,2,1,10,4,"13,819,444",3.42,"12,777,778",0,0,0,0,4,5,7,6,"[56.46607165, 10.010154126188361]"
49,13-14,Sep 21 2013,9,,MCH Arena,9195,Midtjylland,Viborg,Draw,Draw,1,1,0,0,0,0,18,6,0.52,0.48,10,8,0,0,1,2,9,2,"8,958,333",4.08,5.12,0,0,0,0,11,2,7,4,"[56.1169164, 8.951716477487706]"
50,13-14,Sep 22 2013,9,,Sydbank Park,2871,Sønderjyske,Nordsjælland,Won,Lost,3,0,2,0,2,0,8,12,0.05,0.05,15,19,0,0,1,3,1,8,"14,375",3.55,2.05,0,0,0,0,4,4,4,8,"[55.2613291, 9.487707200000001]"
51,13-14,Sep 22 2013,9,,Ceres Park,14488,AGF,Brøndby,Lost,Won,0,3,1,3,0,1,9,19,0.48,0.52,4,10,0,0,1,2,4,10,2.42,3.55,"15,138,889",0,0,0,0,0,10,9,9,"[56.1327356, 10.196762]"
52,13-14,Sep 22 2013,9,,Telia Parken,11008,København,OB,Won,Lost,3,0,2,1,0,1,13,10,0.05,0.05,13,10,0,0,4,3,12,3,1.52,4.57,6.05,0,0,0,0,3,6,10,4,"[55.70270425, 12.572263776860414]"
53,13-14,Sep 23 2013,9,,Harboe Arena Slagelse,5285,Vestsjælland,Esbjerg,Lost,Won,0,3,1,3,0,3,6,7,0.49,0.51,7,13,0,0,2,2,3,8,3.17,3.34,2.41,0,0,0,0,2,3,4,4,"[55.40040215, 11.364318154012732]"
54,13-14,Sep 27 2013,10,,Energi Viborg Arena,4532,Viborg,Vestsjælland,Won,Lost,3,0,2,0,0,0,10,6,0.48,0.52,4,5,0,0,0,0,6,11,2.36,3.43,3.17,0,0,0,0,4,0,6,6,"[56.455903899999996, 9.402020349999999]"
55,13-14,Sep 28 2013,10,,Brøndby Stadion,21798,Brøndby,København,Won,Lost,3,0,3,2,2,0,8,8,0.47,0.53,16,8,0,1,2,0,4,5,3.44,3.55,2.19,0,0,0,0,6,0,2,8,"[55.6480283, 12.4154952]"
56,13-14,Sep 29 2013,10,,Blue Water Arena,7741,Esbjerg,Sønderjyske,Won,Lost,3,0,4,1,2,0,16,11,0.52,0.48,13,14,0,0,3,5,4,6,2,3.06,"19,236,111",0,0,0,0,9,3,7,8,"[55.48194305, 8.438397123328269]"
57,13-14,Sep 29 2013,10,,Aalborg Portland Park,7447,AaB,AGF,Draw,Draw,1,1,0,0,0,0,6,6,0.47,0.53,5,16,0,0,0,1,1,3,2.07,"17,152,778","16,944,444",0,0,0,0,2,2,4,4,"[57.05203525, 9.898599342025985]"
58,13-14,Sep 29 2013,10,,EWII Park (Odense),8633,OB,Midtjylland,Draw,Draw,1,1,1,1,0,1,8,10,0.49,0.51,11,15,0,0,2,3,2,8,3.44,"17,013,889",2.15,0,0,0,0,6,5,2,5,"[55.397745, 10.35022492586062]"
59,13-14,Sep 30 2013,10,,Right to Dream Park,4417,Nordsjælland,Randers,Won,Lost,3,0,1,0,1,0,10,9,0.53,0.47,11,15,0,0,2,1,4,2,2.07,3.06,"17,430,556",0,0,0,0,3,0,7,9,"[55.81619865, 12.353032590985052]"
60,13-14,Oct 05 2013,11,,BioNutria Park Randers,7025,Randers,AGF,Draw,Draw,1,1,2,2,2,1,10,11,0.52,0.48,15,3,0,0,1,1,4,4,2.45,3.05,3.02,0,0,0,0,5,4,5,7,"[56.46607165, 10.010154126188361]"
61,13-14,Oct 06 2013,11,,Blue Water Arena,6967,Esbjerg,OB,Lost,Won,0,3,1,3,1,1,17,6,0.53,0.47,11,10,0,0,1,2,6,3,1.09,"18,333,333",4.09,0,0,0,0,13,4,4,2,"[55.48194305, 8.438397123328269]"
62,13-14,Oct 06 2013,11,,Aalborg Portland Park,6872,AaB,Viborg,Won,Lost,3,0,3,1,2,1,17,9,0.51,0.49,7,12,0,0,2,1,11,4,"9,305,556","19,166,667",5.01,0,0,0,0,6,4,11,5,"[57.05203525, 9.898599342025985]"
63,13-14,Oct 06 2013,11,,Telia Parken,12258,København,Sønderjyske,Won,Lost,3,0,2,1,1,0,21,8,0.51,0.49,10,9,0,0,2,1,7,2,1.05,4.53,7.11,0,0,0,0,7,2,14,6,"[55.70270425, 12.572263776860414]"
64,13-14,Oct 06 2013,11,,Right to Dream Park,9726,Nordsjælland,Brøndby,Draw,Draw,1,1,1,1,0,1,7,9,0.49,0.51,18,16,0,0,3,2,4,4,2.57,3.48,"14,097,222",0,0,0,0,4,3,3,6,"[55.81619865, 12.353032590985052]"
65,13-14,Oct 07 2013,11,,MCH Arena,6195,Midtjylland,Vestsjælland,Draw,Draw,1,1,2,2,1,0,12,9,0.53,0.47,11,8,1,0,1,2,4,4,"8,611,111",4.05,"26,111,111",0,0,0,0,6,4,6,5,"[56.1169164, 8.951716477487706]"
66,13-14,Oct 18 2013,12,,Ceres Park,7040,AGF,Nordsjælland,Lost,Won,0,3,0,1,0,0,11,10,0.47,0.53,11,9,0,0,1,1,5,1,2.53,3.48,"14,444,444",0,0,0,0,4,2,7,8,"[56.1327356, 10.196762]"
67,13-14,Oct 19 2013,12,,MCH Arena,6857,Midtjylland,Randers,Draw,Draw,1,1,1,1,1,0,10,6,0.05,0.05,15,8,0,0,2,2,3,6,"8,819,444",4.01,5.47,0,0,0,0,5,3,5,3,"[56.1169164, 8.951716477487706]"
68,13-14,Oct 20 2013,12,,Harboe Arena Slagelse,3213,Vestsjælland,Esbjerg,Won,Lost,3,0,2,1,1,0,11,8,0.49,0.51,3,12,0,1,1,2,5,9,3.07,3.52,2.01,0,0,0,0,4,4,7,4,"[55.40040215, 11.364318154012732]"
69,13-14,Oct 20 2013,12,,Brøndby Stadion,16607,Brøndby,Viborg,Draw,Draw,1,1,0,0,0,0,12,9,0.53,0.47,9,13,0,0,0,1,4,6,"8,472,222",4.02,"26,180,556",0,0,0,0,4,2,8,7,"[55.6480283, 12.4154952]"
70,13-14,Oct 20 2013,12,,Telia Parken,13693,København,AaB,Won,Lost,3,0,3,0,1,0,5,4,0.48,0.52,6,16,0,0,1,4,2,5,"9,444,444","19,305,556",175,0,0,0,0,0,2,5,2,"[55.70270425, 12.572263776860414]"
71,13-14,Oct 21 2013,12,,Sydbank Park,3169,Sønderjyske,OB,Lost,Won,0,3,1,5,0,1,14,13,0.49,0.51,6,9,0,0,1,0,5,9,2.58,3.55,"13,680,556",0,0,0,0,2,9,12,4,"[55.2613291, 9.487707200000001]"
72,13-14,Oct 25 2013,13,,Energi Viborg Arena,4221,Viborg,Vestsjælland,Won,Lost,3,0,4,1,1,1,7,14,0.05,0.05,9,6,0,0,2,2,6,9,2.34,3.38,3.26,0,0,0,0,2,5,5,9,"[56.455903899999996, 9.402020349999999]"
73,13-14,Oct 26 2013,13,,Right to Dream Park,5911,Nordsjælland,Midtjylland,Won,Lost,3,0,2,1,1,1,14,15,0.49,0.51,12,16,0,0,0,2,5,5,2.09,3.49,2.51,0,0,0,0,6,10,8,5,"[55.81619865, 12.353032590985052]"
74,13-14,Oct 27 2013,13,,Aalborg Portland Park,5469,AaB,Sønderjyske,Won,Lost,3,0,2,0,0,0,17,7,0.51,0.49,9,13,0,0,1,2,5,7,"9,583,333","18,541,667","22,638,889",0,0,0,0,8,0,9,7,"[57.05203525, 9.898599342025985]"
75,13-14,Oct 27 2013,13,,BioNutria Park Randers,5506,Randers,København,Draw,Draw,1,1,1,1,1,0,12,19,0.53,0.47,10,10,0,0,2,1,4,12,4,"17,013,889","11,041,667",0,0,0,0,6,7,6,12,"[56.46607165, 10.010154126188361]"
76,13-14,Oct 27 2013,13,,EWII Park (Odense),11524,OB,Brøndby,Draw,Draw,1,1,0,0,0,0,17,11,0.05,0.05,7,12,0,0,2,1,6,4,"14,375","16,944,444",2.46,0,0,0,0,9,9,8,2,"[55.397745, 10.35022492586062]"
77,13-14,Oct 28 2013,13,,Blue Water Arena,4165,Esbjerg,AGF,Lost,Won,0,3,0,2,0,1,17,8,0.41,0.59,14,12,0,0,2,2,5,6,2.12,"16,875",3.56,0,0,0,0,7,3,10,5,"[55.48194305, 8.438397123328269]"
78,13-14,Nov 01 2013,14,,Sydbank Park,1761,Sønderjyske,Randers,Lost,Won,0,3,1,3,1,2,8,7,0.57,0.43,17,12,0,0,3,1,5,6,"14,375",3.34,"12,569,444",0,0,0,0,3,5,5,2,"[55.2613291, 9.487707200000001]"
79,13-14,Nov 02 2013,14,,Telia Parken,15397,København,Nordsjælland,Won,Lost,3,0,4,0,0,0,13,8,0.45,0.55,12,9,0,0,0,1,5,3,"9,375","18,958,333","23,125",0,0,0,0,5,4,8,4,"[55.70270425, 12.572263776860414]"
80,13-14,Nov 02 2013,14,,Aalborg Portland Park,5289,AaB,OB,Won,Lost,3,0,1,0,0,0,18,10,0.46,0.54,6,7,0,0,1,1,5,8,"10,972,222","17,638,889","18,611,111",0,0,0,0,10,6,8,4,"[57.05203525, 9.898599342025985]"
81,13-14,Nov 03 2013,14,,Ceres Park,6785,AGF,Viborg,Won,Lost,3,0,2,1,1,0,10,6,0.47,0.53,7,14,0,0,1,2,8,4,"9,930,556","17,777,778","20,972,222",0,0,0,0,6,3,4,3,"[56.1327356, 10.196762]"
82,13-14,Nov 03 2013,14,,MCH Arena,6726,Midtjylland,Esbjerg,Won,Lost,3,0,3,0,1,0,2,9,0.59,0.41,16,11,0,0,2,1,5,11,2.11,3.56,"16,875",0,0,0,0,2,4,0,5,"[56.1169164, 8.951716477487706]"
83,13-14,Nov 04 2013,14,,Harboe Arena Slagelse,5258,Vestsjælland,Brøndby,Lost,Won,0,3,0,2,0,0,14,10,"4,236,111",0.39,16,10,0,0,2,1,2,5,3.56,3.49,2.16,0,0,0,0,5,7,9,3,"[55.40040215, 11.364318154012732]"
84,13-14,Nov 08 2013,15,,Energi Viborg Arena,7563,Viborg,Midtjylland,Lost,Won,0,3,2,3,0,1,14,8,0.52,0.48,11,11,0,1,2,3,3,4,"17,777,778","16,875",2.05,0,0,0,0,7,4,7,4,"[56.455903899999996, 9.402020349999999]"
85,13-14,Nov 09 2013,15,,Right to Dream Park,3217,Nordsjælland,Sønderjyske,Won,Lost,3,0,3,0,2,0,15,7,0.42,0.58,15,14,0,0,2,1,9,8,"8,958,333","19,097,222",5.37,0,0,0,0,6,5,9,2,"[55.81619865, 12.353032590985052]"
86,13-14,Nov 10 2013,15,,EWII Park (Odense),7813,OB,Vestsjælland,Lost,Won,0,3,1,3,0,2,9,9,0.45,0.55,4,8,0,0,0,2,5,6,"9,930,556","17,638,889","20,972,222",0,0,0,0,4,3,5,6,"[55.397745, 10.35022492586062]"
87,13-14,Nov 10 2013,15,,Blue Water Arena,7663,Esbjerg,København,Draw,Draw,1,1,1,1,1,0,12,8,0.57,0.43,16,4,0,0,4,1,3,6,4.02,"16,805,556","10,972,222",0,0,0,0,8,4,4,4,"[55.48194305, 8.438397123328269]"
88,13-14,Nov 10 2013,15,,Brøndby Stadion,12790,Brøndby,AGF,Won,Lost,3,0,3,0,0,0,10,10,0.42,0.58,10,14,0,0,2,0,0,8,2.01,3.58,"16,875",0,0,0,0,6,5,4,5,"[55.6480283, 12.4154952]"
89,13-14,Nov 11 2013,15,,BioNutria Park Randers,5624,Randers,AaB,Lost,Won,0,3,1,4,0,2,11,7,0.46,0.54,16,11,1,0,5,5,4,4,3.02,3.46,2.33,0,0,0,0,4,4,7,3,"[56.46607165, 10.010154126188361]"
90,13-14,Nov 22 2013,16,,Sydbank Park,1656,Sønderjyske,Esbjerg,Won,Lost,3,0,1,0,1,0,15,15,0.55,0.45,11,7,1,1,3,1,5,4,3.58,3.05,2.15,0,0,0,0,8,7,7,8,"[55.2613291, 9.487707200000001]"
91,13-14,Nov 23 2013,16,,BioNutria Park Randers,3824,Randers,OB,Draw,Draw,1,1,1,1,1,0,5,8,0.05,0.05,14,16,0,0,1,2,8,2,2.54,3.43,2.09,0,0,0,0,3,6,2,2,"[56.46607165, 10.010154126188361]"
92,13-14,Nov 24 2013,16,,Ceres Park,5959,AGF,Vestsjælland,Draw,Draw,1,1,2,2,1,1,8,12,0.52,0.48,12,13,0,0,3,3,4,3,2.02,3.54,4,0,0,0,0,5,9,3,3,"[56.1327356, 10.196762]"
93,13-14,Nov 24 2013,16,,Telia Parken,14227,København,Viborg,Won,Lost,3,0,4,1,3,1,8,5,0.05,0.05,11,5,0,0,3,1,3,3,1.42,"22,638,889",8.34,0,0,0,0,4,2,4,3,"[55.70270425, 12.572263776860414]"
94,13-14,Nov 24 2013,16,,MCH Arena,10017,Midtjylland,Brøndby,Lost,Won,0,3,0,1,0,0,12,7,0.51,0.49,10,10,0,0,2,1,6,5,2.47,3.42,3.01,0,0,0,0,3,3,9,4,"[56.1169164, 8.951716477487706]"
95,13-14,Nov 25 2013,16,,Aalborg Portland Park,5561,AaB,Nordsjælland,Draw,Draw,1,1,1,1,1,1,5,15,0.59,0.41,10,10,0,0,1,2,1,6,2.03,3.59,3.09,0,0,0,0,4,8,1,7,"[57.05203525, 9.898599342025985]"
96,13-14,Nov 29 2013,17,,Harboe Arena Slagelse,3147,Vestsjælland,Midtjylland,Lost,Won,0,3,0,1,0,1,10,5,0.45,0.55,10,11,0,0,1,3,8,4,3.58,3.41,2.18,0,0,0,0,5,2,5,3,"[55.40040215, 11.364318154012732]"
