index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
1770,21-22,Jul 25 2021,2,Jørgen Daugbjerg Burchardt,Vejle Stadion (Vejle),,Brøndby,Viborg,Draw,Draw,1,1,1,1,1,0,13,14,0.46,0.54,7,8,0,0,3,5,5,6,"9,930,556","17,013,889",4.25,0,1.54,1.28,1.56,2,5,11,9,"[55.71372409999999, 9.556157838024756]"
1771,21-22,Jul 26 2021,2,Michael Tykgaard,Parken (København),,Sønderjyske,Vejle,Won,Lost,3,0,1,0,0,0,12,16,0.54,0.46,8,14,0,0,0,3,4,8,2.45,3.03,2.09,0,0,1.46,1.07,6,3,6,13,"[55.70270425, 12.572263776860414]"
1772,21-22,Jul 31 2021,3,Anders Poulsen,Ceres Park & Arena (Århus),,Viborg,Midtjylland,Lost,Won,0,3,0,2,0,0,13,17,0.47,0.53,5,8,0,0,1,2,10,9,"18,680,556",3.35,"9,305,556",0,2,1.04,"9,513,889",4,6,9,11,"[56.1316074, 10.19619137741853]"
1773,21-22,Aug 01 2021,3,Mads-Kristoffer Kristoffersen,JYSK park (Silkeborg),,AGF,Randers,Lost,Won,0,3,1,2,0,1,15,8,0.46,0.54,11,12,0,0,2,2,5,2,"14,930,556",3.03,2.04,1.23,"10,347,222",1.08,1.09,6,3,9,5,"[56.184187, 9.5751522579733]"
1774,21-22,Aug 01 2021,3,Sandi Putros,Aalborg Portland Park (Aalborg),,Silkeborg,AaB,Draw,Draw,1,1,0,0,0,0,11,17,0.48,0.52,9,11,0,0,1,4,3,9,"12,847,222",3.03,2.07,1.06,1.03,1.45,"10,833,333",7,6,4,11,"[57.05203525, 9.898599342025985]"
1775,21-22,Aug 01 2021,3,Jakob A. Sundberg,Right to Dream Park (Farum),,Vejle,Brøndby,Draw,Draw,1,1,2,2,1,1,19,16,0.51,0.49,6,13,0,0,1,2,1,9,3.02,3.03,2.02,1.21,"9,791,667","10,347,222","9,583,333",5,6,14,10,"[55.81619865, 12.353032590985052]"
1776,21-22,Aug 01 2021,3,Jakob Kehlet,Cepheus Park Randers (Randers),,OB,København,Lost,Won,0,3,0,2,0,1,20,16,0.44,0.56,10,4,0,0,0,1,7,1,"13,541,667",3.04,2.05,0,0,2.19,"9,305,556",7,6,13,10,"[56.46607165, 10.010154126188361]"
1777,21-22,Aug 02 2021,3,Jens Maae,Parken (København),,Sønderjyske,Nordsjælland,Lost,Won,0,3,0,2,0,1,8,18,0.54,0.46,7,16,0,1,1,2,3,7,2.25,3.04,3.05,1.46,0,"6,388,889",2.01,3,6,5,12,"[55.70270425, 12.572263776860414]"
1778,21-22,Aug 06 2021,4,Jens Maae,Brøndby Stadion (Brøndby),,Silkeborg,Viborg,Won,Lost,3,0,4,1,1,0,14,21,0.49,0.51,9,12,0,0,2,3,1,5,2.35,3.35,2.09,1.53,1.55,"0,1",2.28,10,6,4,15,"[55.6480283, 12.4154952]"
1779,21-22,Aug 06 2021,4,Mikkel Redder,Sydbank Park (Haderslev),,Midtjylland,Vejle,Won,Lost,3,0,4,1,1,0,29.00.00,6,0.44,0.56,15,8,0,0,2,4,5,4,1.54,4.02,"26,041,667","9,166,667",1.07,3.15,"4,375",14,2,15,4,"[55.2613291, 9.487707200000001]"
