index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
10,13-14,Jul 28 2013,2,,MCH Arena,8759,Midtjylland,Kobenhavn,Won,Lost,3,0,1,0,1,0,52,48,10,10,0,0,3,1,4,7,3.37,3.59,2.2,0,0,0,0,4,6,6,7,10,13,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
11,13-14,Jul 29 2013,2,,Blue Water Arena,9517,Esbjerg,AaB,Lost,Won,0,3,1,2,1,0,51,49,11,7,0,0,3,0,7,7,2.02,3.64,3.81,0,0,0,0,3,2,8,9,11,11,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
12,13-14,Aug 02 2013,3,,MCH Arena,5145,Midtjylland,Sonderjyske,Won,Lost,3,0,2,1,0,0,51,49,10,12,0,0,1,4,6,8,1.85,3.78,4.47,0,0,0,0,2,5,6,6,8,11,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
13,13-14,Aug 03 2013,3,,Ceres Park,6997,AGF,Nordsjaelland,Won,Lost,3,0,2,1,0,0,47,53,12,9,0,0,1,1,3,2,2.74,3.43,2.68,0,0,0,0,6,4,1,6,7,10,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
14,13-14,Aug 04 2013,3,,EWII Park (Odense),7889,OB,Viborg,Won,Lost,3,0,4,2,2,1,47,53,9,15,0,0,1,4,5,3,2.09,3.7,3.56,0,0,0,0,4,3,3,8,7,11,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
15,13-14,Aug 04 2013,3,,Telia Parken,12956,Kobenhavn,Randers,Lost,Won,0,3,1,3,1,1,48,52,10,7,0,0,0,1,7,6,1.54,4.3,6.76,0,0,0,0,5,5,14,6,19,11,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
16,13-14,Aug 04 2013,3,,Brondby Stadion,14771,Brondby,Esbjerg,Lost,Won,0,3,0,2,0,0,51,49,13,12,0,0,1,1,8,4,2.75,3.4,2.69,0,0,0,0,4,4,8,5,12,9,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
17,13-14,Aug 05 2013,3,,Harboe Arena Slagelse,1688,Vestsjaelland,AaB,Won,Lost,3,0,2,1,1,0,49,51,9,14,0,0,1,2,6,8,3.84,3.49,2.06,0,0,0,0,3,7,10,6,13,13,"[55.40040215, 11.364318154012732, 'Region SjÃ¦lland']",55.40040215,11.36431815,Region Sjaelland,Slagelse
18,13-14,Aug 09 2013,4,,Energi Viborg Arena,9047,Viborg,Brondby,Draw,Draw,1,1,2,2,1,0,50,50,18,6,0,0,3,1,2,11,2.93,3.45,2.5,0,0,0,0,2,6,8,9,10,15,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
19,13-14,Aug 10 2013,4,,Blue Water Arena,8012,Esbjerg,AGF,Won,Lost,3,0,5,1,1,0,47,53,5,9,0,0,1,3,9,3,2.12,3.53,3.64,0,0,0,0,4,6,4,2,8,8,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
20,13-14,Aug 11 2013,4,,BioNutria Park Randers,5064,Randers,Midtjylland,Lost,Won,0,3,1,3,1,1,50,50,8,10,0,0,1,2,6,5,2.61,3.49,2.78,0,0,0,0,3,4,7,10,10,14,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
21,13-14,Aug 11 2013,4,,Aalborg Portland Park,6369,AaB,OB,Draw,Draw,1,1,0,0,0,0,49,51,11,13,0,0,0,2,8,3,2.04,3.62,3.76,0,0,0,0,5,4,12,7,17,11,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
22,13-14,Aug 11 2013,4,,Right to Dream Park,7769,Nordsjaelland,Kobenhavn,Draw,Draw,1,1,2,2,1,1,53,47,12,11,0,0,2,3,1,1,3.44,3.59,2.17,0,0,0,0,2,4,8,6,10,10,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
23,13-14,Aug 12 2013,4,,Sydbank Park,2739,Sonderjyske,Vestsjaelland,Draw,Draw,1,1,0,0,0,0,48,52,12,15,0,0,2,3,8,5,1.85,3.76,4.45,0,0,0,0,4,5,8,6,12,11,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
24,13-14,Aug 16 2013,5,,MCH Arena,10745,Midtjylland,Brondby,Won,Lost,3,0,5,2,2,1,50,50,17,13,0,0,2,1,5,4,1.99,3.55,4.07,0,0,0,0,6,4,4,7,10,11,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
25,13-14,Aug 17 2013,5,,Right to Dream Park,4013,Nordsjaelland,AaB,Won,Lost,3,0,2,1,1,1,53,47,7,7,0,0,1,0,5,9,2.23,3.53,3.35,0,0,0,0,7,4,2,4,9,8,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
26,13-14,Aug 18 2013,5,,Harboe Arena Slagelse,4434,Vestsjaelland,OB,Draw,Draw,1,1,1,1,0,1,51,49,9,10,0,0,2,2,7,3,3.02,3.48,2.43,0,0,0,0,4,4,6,2,10,6,"[55.40040215, 11.364318154012732, 'Region SjÃ¦lland']",55.40040215,11.36431815,Region Sjaelland,Slagelse
27,13-14,Aug 18 2013,5,,Sydbank Park,2654,Sonderjyske,Viborg,Lost,Won,0,3,0,3,0,2,49,51,12,13,0,0,0,3,7,3,1.93,3.63,4.24,0,0,0,0,5,3,2,6,7,9,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
28,13-14,Aug 18 2013,5,,Telia Parken,13316,Kobenhavn,AGF,Draw,Draw,1,1,1,1,1,1,49,51,17,12,0,0,1,4,8,3,0,0,0,0,0,0,0,5,4,7,5,12,9,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
29,13-14,Aug 19 2013,5,,BioNutria Park Randers,3850,Randers,Esbjerg,Won,Lost,3,0,3,2,0,1,48,52,10,13,0,0,3,2,4,3,2.78,3.4,2.66,0,0,0,0,6,2,9,2,15,4,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
30,13-14,Aug 23 2013,6,,Ceres Park,8925,AGF,Sonderjyske,Won,Lost,3,0,3,1,1,1,50,50,10,13,0,0,3,1,3,6,0,0,0,0,0,0,0,2,4,3,9,5,13,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
31,13-14,Aug 25 2013,6,,EWII Park (Odense),7716,OB,Nordsjaelland,Won,Lost,3,0,1,0,0,0,47,53,13,7,0,0,3,3,10,2,2.57,3.5,2.82,0,0,0,0,4,2,8,5,12,7,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
32,13-14,Aug 25 2013,6,,Energi Viborg Arena,5156,Viborg,Esbjerg,Won,Lost,3,0,3,1,1,0,53,47,9,4,0,0,2,0,3,6,3.39,3.56,2.2,0,0,0,0,0,4,6,8,6,12,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
33,13-14,Aug 25 2013,6,,Telia Parken,18778,Kobenhavn,Vestsjaelland,Draw,Draw,1,1,1,1,1,1,50,50,4,16,0,0,2,4,14,3,1.37,5.09,9.8,0,0,0,0,6,5,13,5,19,10,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
34,13-14,Aug 25 2013,6,,Brondby Stadion,16086,Brondby,Randers,Draw,Draw,1,1,0,0,0,0,50,50,10,10,0,0,2,2,5,6,2.4,3.43,3.1,0,0,0,0,7,5,11,2,18,7,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
35,13-14,Aug 26 2013,6,,Aalborg Portland Park,7392,AaB,Midtjylland,Draw,Draw,1,1,1,1,1,0,51,49,12,13,0,0,1,4,4,8,2.76,3.42,2.67,0,0,0,0,4,6,6,9,10,15,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
36,13-14,Aug 30 2013,7,,EWII Park (Odense),8069,OB,AGF,Lost,Won,0,3,3,6,2,1,52,48,14,10,0,0,1,2,5,4,0,0,0,0,0,0,0,3,2,4,7,7,9,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
37,13-14,Sep 01 2013,7,,Right to Dream Park,4159,Nordsjaelland,Vestsjaelland,Lost,Won,0,3,1,2,1,0,53,47,19,13,0,0,3,4,2,7,1.8,3.81,4.72,0,0,0,0,7,5,5,4,12,9,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
38,13-14,Sep 01 2013,7,,Blue Water Arena,8568,Esbjerg,Midtjylland,Draw,Draw,1,1,1,1,1,0,49,51,12,10,0,1,1,2,4,6,2.5,3.47,2.92,0,0,0,0,6,7,4,4,10,11,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
39,13-14,Sep 01 2013,7,,Energi Viborg Arena,8212,Viborg,Kobenhavn,Lost,Won,0,3,1,4,0,2,52,48,12,6,0,0,1,1,7,9,4.94,3.93,1.75,0,0,0,0,3,6,6,13,9,19,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
40,13-14,Sep 01 2013,7,,Aalborg Portland Park,8566,AaB,Brondby,Won,Lost,3,0,2,1,0,0,53,47,7,17,0,0,3,3,10,5,2.39,3.46,3.1,0,0,0,0,6,6,8,7,14,13,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
41,13-14,Sep 02 2013,7,,BioNutria Park Randers,4015,Randers,Sonderjyske,Lost,Won,0,3,0,2,0,0,50,50,9,14,1,0,2,2,12,2,2.04,3.62,3.78,0,0,0,0,4,3,5,6,9,9,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
42,13-14,Sep 13 2013,8,,Sydbank Park,3123,Sonderjyske,AaB,Lost,Won,0,3,1,3,1,1,47,53,13,10,1,0,4,3,5,4,2.55,3.49,2.85,0,0,0,0,2,2,7,10,9,12,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
43,13-14,Sep 14 2013,8,,Telia Parken,20697,Kobenhavn,Esbjerg,Draw,Draw,1,1,1,1,0,1,47,53,15,17,1,0,1,3,5,2,1.67,4.06,5.45,0,0,0,0,5,5,13,7,18,12,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
44,13-14,Sep 15 2013,8,,Ceres Park,9625,AGF,Viborg,Lost,Won,0,3,0,1,0,1,48,52,5,8,0,0,1,1,8,4,1.71,4.05,5,0,0,0,0,9,4,2,4,11,8,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
45,13-14,Sep 15 2013,8,,Harboe Arena Slagelse,4181,Vestsjaelland,Randers,Won,Lost,3,0,2,0,0,0,47,53,13,8,0,0,2,0,5,2,2.91,3.39,2.55,0,0,0,0,3,3,5,6,8,9,"[55.40040215, 11.364318154012732, 'Region SjÃ¦lland']",55.40040215,11.36431815,Region Sjaelland,Slagelse
46,13-14,Sep 15 2013,8,,Brondby Stadion,12487,Brondby,OB,Won,Lost,3,0,2,1,1,0,53,47,14,8,0,0,2,2,7,4,2.37,3.47,3.13,0,0,0,0,9,5,11,5,20,10,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
47,13-14,Sep 16 2013,8,,MCH Arena,6290,Midtjylland,Nordsjaelland,Won,Lost,3,0,2,1,1,1,53,47,16,11,0,0,3,3,3,4,1.95,3.73,4.01,0,0,0,0,6,7,1,12,7,19,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
48,13-14,Sep 20 2013,9,,BioNutria Park Randers,5690,Randers,AaB,Won,Lost,3,0,3,2,2,1,47,53,14,12,0,0,2,1,10,4,2.79,3.42,2.64,0,0,0,0,4,5,7,6,11,11,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
49,13-14,Sep 21 2013,9,,MCH Arena,9195,Midtjylland,Viborg,Draw,Draw,1,1,0,0,0,0,52,48,10,8,0,0,1,2,9,2,1.69,4.08,5.12,0,0,0,0,11,2,7,4,18,6,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
50,13-14,Sep 22 2013,9,,Sydbank Park,2871,Sonderjyske,Nordsjaelland,Won,Lost,3,0,2,0,2,0,50,50,15,19,0,0,1,3,1,8,2.87,3.55,2.5,0,0,0,0,4,4,4,8,8,12,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
51,13-14,Sep 22 2013,9,,Ceres Park,14488,AGF,Brondby,Lost,Won,0,3,1,3,0,1,48,52,4,10,0,0,1,2,4,10,2.42,3.55,2.98,0,0,0,0,0,10,9,9,9,19,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
